generation_index,source_sample_id,source_image_path,source_label_path,source_image_sha256,source_label_sha256,source_split,is_negative,anchor_class,class_ids,prompt,seed,width,height,num_inference_steps,guidance_scale,scheduler,base_output_filename,rgda_output_filename,rgda_checkpoint_sha256
13,formal_train_0041,,,20a2454f7bb9c18bdfd6a98a891d52a7280701e470d4908c736c42d2514f1878,42d114f29a82b2ae95ad781ec605d0f18d6702641799800d2055a3eae131efd6,train,false,D20,,a Czech road surface with alligator crack and pothole damage,202600013,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0013_formal_train_0041.png,sd3rgda_0013_formal_train_0041.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
14,formal_train_0044,,,44b8d0c8e3dd03a6700ab496c9a0f043a9d5eb3b98eebc952d975a38182cf2ab,c7ace31a71f3d717149d7a0e9f55aca9ba66da5f758b0bbcbdd05b941bd0055e,train,false,D10,,a Czech road surface with transverse crack and alligator crack damage,202600014,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0014_formal_train_0044.png,sd3rgda_0014_formal_train_0044.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
15,formal_train_0046,,,1289d382c507aad792ecede503106b9fe2f50e5dcee1182ddc5d2990b7aae82a,259ec14a77fc6b913080f133e4fd80c9871d58e283002f67bf868c4f03ebb5f6,train,false,D00,,a Czech road surface with longitudinal crack damage,202600015,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0015_formal_train_0046.png,sd3rgda_0015_formal_train_0046.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
16,formal_train_0053,,,7c3c94117b4183fca4f940de2bc5762c37a25bc5fbf9b25eb99b622fd504cb28,880e46ccd1eefdae45ab7d22ef9594d398cf1b43cbfe426a01c51edc302db306,train,false,D40,,a Czech road surface with pothole damage,202600016,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0016_formal_train_0053.png,sd3rgda_0016_formal_train_0053.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
17,formal_train_0055,,,00f51a8603f5c88180154024208b42258edf6b5aeca6f037733d869db257ad97,33589397590991006f6fad505dab541f5c8af05dd2f0a8dca4c8117f83d67012,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600017,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0017_formal_train_0055.png,sd3rgda_0017_formal_train_0055.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
18,formal_train_0057,,,4cff95af02b6bb0ca84c2d859c9514cfc8294b6353d1348919053bc5ce460e9b,b7b98d9cb6e43f22b8de1fb3a2d125698c82627a14ee6c9c84772e3c00d32416,train,false,D20,,a Czech road surface with alligator crack damage,202600018,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0018_formal_train_0057.png,sd3rgda_0018_formal_train_0057.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
19,formal_train_0058,,,85214dda023fc26b64de14b473f1231ed81f74ce5c863c460355558d7b5d89b8,3448689b90d42cf69b50a7df272271383a9151d31ddb34c6fc5cf856ceb725df,train,false,D00,,a Czech road surface with longitudinal crack damage,202600019,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0019_formal_train_0058.png,sd3rgda_0019_formal_train_0058.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
20,formal_train_0059,,,fea123295a9bc31f7a4b16fe0ef4df04a7bfc6ace8b9371fcb1d39d473181ff7,c6b7b89e3c74ebe5f94e62a5359a9ef9523567fdecd7ba706dd2b1124f0c1d99,train,false,D00,,a Czech road surface with longitudinal crack damage,202600020,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0020_formal_train_0059.png,sd3rgda_0020_formal_train_0059.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
21,formal_train_0062,,,679da57b51d8949e4688f355839305d528cca8a8ac738e0b625a4ab84bec7a78,908530ff8dd42480d075bf291b0fd3a6946c8497d5df899a44fccfe802277832,train,false,D00,,a Czech road surface with longitudinal crack damage,202600021,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0021_formal_train_0062.png,sd3rgda_0021_formal_train_0062.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
22,formal_train_0063,,,7d06cf9ae02e8881720733d60c03645602c5f6c2007e75a984aa7a1e0813f386,38d56935ed5babe57e55807bddbb6ce0befd2f94374ff6a01ed2d97b3ff4add4,train,false,D00,,a Czech road surface with longitudinal crack damage,202600022,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0022_formal_train_0063.png,sd3rgda_0022_formal_train_0063.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
23,formal_train_0065,,,1a4aac3181aaf563e035c20be43726648516363776ff0cc3043efff0defc3ace,b40e588d9d7092da2beb0f4d893ab8b5425576c606fa9fc777add4b2cc0c41e5,train,false,D00,,a Czech road surface with longitudinal crack damage,202600023,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0023_formal_train_0065.png,sd3rgda_0023_formal_train_0065.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
24,formal_train_0066,,,f16f12414a4fb1e969953e186e52b1e2ad510516f732cba5a3b7077417f9be34,9dd7ae46a3df66699bcb014001eeb7037884156ee4e290e5c0c9cdfc80e6c040,train,false,D00,,a Czech road surface with longitudinal crack damage,202600024,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0024_formal_train_0066.png,sd3rgda_0024_formal_train_0066.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
25,formal_train_0072,,,b012745206d07ccbc7d692912ba0e8172cb71dbe95b6cf0183f3af327a212809,c1d80e82045b654fad84482b2dfadb7ba4188e553e0808af668af78c2affff78,train,false,D10,,a Czech road surface with transverse crack damage,202600025,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0025_formal_train_0072.png,sd3rgda_0025_formal_train_0072.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
26,formal_train_0077,,,24c670a9d342713076aca4c490d724637ccd9ee7f97018ebd3bc50dcecb1af45,ff38773300c1f4d746a7d69b4c32f06e604a5ec6caa058d33ccb4a2b5ac724ed,train,false,D00,,a Czech road surface with longitudinal crack damage,202600026,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0026_formal_train_0077.png,sd3rgda_0026_formal_train_0077.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
27,formal_train_0079,,,69acbd18006700d74bfd0f0078a0bbe4fcb0958506e44e5d63915ce7e1251853,de0c18b16ae94eee4ac598d51e5c4583df47cdd2563b8811e205c38cd82f121e,train,false,D00,,a Czech road surface with longitudinal crack damage,202600027,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0027_formal_train_0079.png,sd3rgda_0027_formal_train_0079.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
28,formal_train_0082,,,77b5e15db969159c4f789ebc426deb8148d8b9d7c0e43e34053fc7ea572c07a4,9f72c41372645d981393cdf3abea7b20186b7dab5750d8f733895bca1b21d5e8,train,false,D00,,a Czech road surface with longitudinal crack damage,202600028,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0028_formal_train_0082.png,sd3rgda_0028_formal_train_0082.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
29,formal_train_0086,,,403ab8aefe980809d5f1d001d390c3fe9d85a92f096691b4c0a8a7d85324379a,37ec8d3584eae644a15638e422886a596e12572de7473ad67540739fdcc8bad8,train,false,D00,,a Czech road surface with longitudinal crack damage,202600029,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0029_formal_train_0086.png,sd3rgda_0029_formal_train_0086.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
30,formal_train_0090,,,97d0fc84d0f09f9f8fd97aa0db5ef8fac511a03fa615c4e93cc57c2b0d815f79,9fb6529abc74540b5cc887366c793159530b12ffc280caac4c85f157f50162ad,train,false,D00,,a Czech road surface with longitudinal crack damage,202600030,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0030_formal_train_0090.png,sd3rgda_0030_formal_train_0090.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
31,formal_train_0095,,,69b9e961659ba23ad6d64173a755920a64fef5d333b37073e3c42648bd320403,e5051f5c510c9eeae849ec5f9b42ce2ee86f2e46f32f1b0e51ca97908cb4e8d3,train,false,D00,,a Czech road surface with longitudinal crack damage,202600031,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0031_formal_train_0095.png,sd3rgda_0031_formal_train_0095.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
32,formal_train_0102,,,60c3b1741241a6ca5e2812955f39e67bb0d118fc9a92c97fcd5b666767bc7ae0,794186e27f6a0c1cf94ea4146640239ae199769372ec840fd3139ee36a5daabb,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600032,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0032_formal_train_0102.png,sd3rgda_0032_formal_train_0102.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
33,formal_train_0104,,,f92976df20e71648b9f191acab550152967762d5c018060163f33b1e5fde5dc3,29a5091398caf7656a3c7a01cbe353a0613c3c28c491dc3478fa14709e0956fa,train,false,D00,,a Czech road surface with longitudinal crack damage,202600033,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0033_formal_train_0104.png,sd3rgda_0033_formal_train_0104.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
34,formal_train_0107,,,fe1d0a836caf181059ef9726d286cc63461492f35ca1a112bfe52df64d8f0e67,cb9fc63adc09099cab84dee5609835333f4f00cc5d0eba8cbaf87ac37a22c5c5,train,false,D20,,a Czech road surface with alligator crack damage,202600034,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0034_formal_train_0107.png,sd3rgda_0034_formal_train_0107.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
35,formal_train_0108,,,56cb85866bb3f58351e4c7ea0fde7a312dec4299b8fd50a3d29256d70b482981,c6adfeaa44a7b9841626f7d1b2b720086845ba501fb249b05e02e08e0f417947,train,false,D00,,a Czech road surface with longitudinal crack damage,202600035,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0035_formal_train_0108.png,sd3rgda_0035_formal_train_0108.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
36,formal_train_0109,,,aa116866bf4d680600cadc686f65abd2001cb27a3d7abbff6f4de89a363eb6ef,8c8fa5ade7fb3a2d5f00edee5a19c7e32a551290216c8384c98153054246a637,train,false,D00,,a Czech road surface with longitudinal crack damage,202600036,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0036_formal_train_0109.png,sd3rgda_0036_formal_train_0109.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
37,formal_train_0112,,,3ae96b9647519a80e770b7e125205d648712c868f2b531c5de8c67e9f357ced9,43498daa722e4ede601a84aefe5401ad7a9e6a9f16b574566c4ee46b2f3db76b,train,false,D00,,a Czech road surface with longitudinal crack damage,202600037,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0037_formal_train_0112.png,sd3rgda_0037_formal_train_0112.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
38,formal_train_0117,,,9ca3a5b5e2ff4eb45ca5fa954e2b8915180d2259380fdc9e1d08bd02859b89ed,52475882bd41cc8ccc7174820c859356771e09ed6f97a7e870182928ea461d91,train,false,D00,,a Czech road surface with longitudinal crack damage,202600038,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0038_formal_train_0117.png,sd3rgda_0038_formal_train_0117.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
39,formal_train_0118,,,d42ba08be76e2984cab30086ab679a59fd0934f2ff57853fb030e9bde6eb6390,b19c67677f736f93db254c43521a57efbbae3a8147796a8369fc69b73dc53eb3,train,false,D10,,a Czech road surface with transverse crack damage,202600039,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0039_formal_train_0118.png,sd3rgda_0039_formal_train_0118.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
40,formal_train_0120,,,8803c72bc5d623aec03a14f3c9ed36b90e48f29b945dbc0b703da640f4c523f5,80089f37c154cca321987e54ab15208a98985b39f63904b311f4ccc617793fe5,train,false,D00,,a Czech road surface with longitudinal crack damage,202600040,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0040_formal_train_0120.png,sd3rgda_0040_formal_train_0120.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
41,formal_train_0121,,,7fda68ff04b8fb9070e9405ae168e46acdb7e01145a2b625c73e452cebbb6819,ad0017067837df9911d3e4fab5b8ce3af6e4d2e613d2c2406d995a8dc61308cf,train,false,D00,,a Czech road surface with longitudinal crack damage,202600041,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0041_formal_train_0121.png,sd3rgda_0041_formal_train_0121.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
42,formal_train_0123,,,f6b1e81b13dd51be98b62da4c2e3cacacea7c45eb85a2aa8c681b361a6cbac04,11c2d4b9f9a4ec243a62865dc8ddce40e0eadfd629a18e046a5b74f30dfdf4e7,train,false,D00,,a Czech road surface with longitudinal crack damage,202600042,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0042_formal_train_0123.png,sd3rgda_0042_formal_train_0123.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
43,formal_train_0125,,,b3703da76346a69d2bd5f599dc22eb72c12eb6b6f0b4a11a7aa5db018465b175,6c1cf5bb1eef10c787a8230f38db965f12ae727222609cc762d532510c801236,train,false,D00,,a Czech road surface with longitudinal crack damage,202600043,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0043_formal_train_0125.png,sd3rgda_0043_formal_train_0125.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
44,formal_train_0127,,,5c726e01884a3f8cf419a46483e1653f7fff2995053db21a1b5b75447dfc4af8,970944b27b7a93ae532dd2e278b40cb8ae955fcaa96f47427feb395953fee11b,train,false,D00,,a Czech road surface with longitudinal crack damage,202600044,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0044_formal_train_0127.png,sd3rgda_0044_formal_train_0127.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
45,formal_train_0128,,,db32ad945d77def3efc72a4d06ed34103e7a1f7b9236399fa4a36f2e97eb9d2e,46b6bf2d63b95ee4d00e30b12249179904417881fb7e45b571ee16c7eceebda3,train,false,D10,,a Czech road surface with transverse crack damage,202600045,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0045_formal_train_0128.png,sd3rgda_0045_formal_train_0128.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
46,formal_train_0130,,,abc3862dd2bc3e88911de3cd609abac97567b0f76a51288777cf898e7dbc2d59,f7a8397e7a8db1ed6e3b8b53b74e78740307ff11456598a09516edc8f9ad1222,train,false,D00,,a Czech road surface with longitudinal crack and alligator crack and pothole damage,202600046,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0046_formal_train_0130.png,sd3rgda_0046_formal_train_0130.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
47,formal_train_0132,,,13bc007389276a3bbe468bc28e5b0549ab9c84c5c128565c8e13830b95fcbc79,2eac2a9ae4f6e6431ff09db74e4b6a80874a1c18f920fbe5f58033a3d6a4c4f3,train,false,D10,,a Czech road surface with transverse crack damage,202600047,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0047_formal_train_0132.png,sd3rgda_0047_formal_train_0132.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
48,formal_train_0133,,,972d91495e2cbfbb11ce662968048bda975be73ee90d0d76984620677a9e8f23,19eed12cd7dee3134b29bdeeb2207746417d2bcf852408b7a08a74776159d312,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600048,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0048_formal_train_0133.png,sd3rgda_0048_formal_train_0133.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
49,formal_train_0134,,,db47230c8e8f804bf69923e3faf95bedbc203ffc34a05f04fe5a1eae40bd5977,32b0399c8262a321ac5227b7d09b08e66ad210d444eee10e6ae877971e08af41,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600049,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0049_formal_train_0134.png,sd3rgda_0049_formal_train_0134.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
50,formal_train_0135,,,075a1ea37f0a85bd0fd532ec43bd7243713b5937a165870b348a0db9adaf0cd4,5035bbb2f11bc23b91591f5dd525089bd04776f24683bc031f47311ca8cad2c9,train,false,D00,,a Czech road surface with longitudinal crack damage,202600050,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0050_formal_train_0135.png,sd3rgda_0050_formal_train_0135.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
51,formal_train_0136,,,1ed1195c532a4f400ac380888c773f5a0200b6f5ab76396ef326f19ca815d0e8,7b1bb0fcde74ca50b1af1bee22eb0136f9a41c9fd077e50302893ee47b3a8b84,train,false,D10,,a Czech road surface with transverse crack damage,202600051,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0051_formal_train_0136.png,sd3rgda_0051_formal_train_0136.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
52,formal_train_0137,,,d15d0e71d396b6405e0d8c79d3e64fe958e251086f56fdc6ab22e4039a0b8b67,1b1590814d38b5a30236569a1a6d747b3ff5f468224054250d6c6070ad1529de,train,false,D00,,a Czech road surface with longitudinal crack damage,202600052,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0052_formal_train_0137.png,sd3rgda_0052_formal_train_0137.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
53,formal_train_0140,,,dd483e928c7ffd2984a87994e1fac5825fa59749a7736bf6257250f194ba085e,cc48520d30fb1b89156b59a4d720d3da3a86b2641ebeae4172fce34529239a09,train,false,D20,,a Czech road surface with alligator crack damage,202600053,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0053_formal_train_0140.png,sd3rgda_0053_formal_train_0140.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
54,formal_train_0141,,,16987a30d8c53bbc446b68fe796c31cc98217d6939e0945b6282212cb78acfd8,d14b6e048252a7e2fad180941f345077e669eaa192b301da3a992f7d528122f1,train,false,D10,,a Czech road surface with transverse crack damage,202600054,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0054_formal_train_0141.png,sd3rgda_0054_formal_train_0141.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
55,formal_train_0147,,,de6aa6015ca35f7a1986e28753c7136eaff8c69c339aaa2965980c66e9c9abcc,2f05e265823076b0b4d4128e113dffa84849282483bb2e966533a0f3cf0be9c0,train,false,D00,,a Czech road surface with longitudinal crack damage,202600055,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0055_formal_train_0147.png,sd3rgda_0055_formal_train_0147.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
56,formal_train_0148,,,f1c050cb18065dbe537ff06581d08ca702467f1670b3ef209788ec21afcbd1e1,956b8f1726c57750b56c595d209d05b97902c48469a9bbc5e5bac864c792ca43,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600056,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0056_formal_train_0148.png,sd3rgda_0056_formal_train_0148.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
57,formal_train_0149,,,a150ce3eb666ca6d412674993886cef9815f9c1853c1d5b831951302890d308d,d35c7b84d7cf289582e586a14186936da6bfa8067a3120b7772ac5643fff931f,train,false,D00,,a Czech road surface with longitudinal crack and alligator crack and pothole damage,202600057,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0057_formal_train_0149.png,sd3rgda_0057_formal_train_0149.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
